Game Title,Console,Commenter Name,Reviewer Type,Comment,Date Commented,Score Number,Release Date,Description,Game Link
post void,PC,Gnollcub,User,This is a very addictive fast pace game and the art style looks like you just took acid,"Sep 3, 2020",7.9,"Jun 20, 2023",Post Void is a hypnotic scramble of early first-person shooter design that values speed above all else. Keep your head full and reach the end; Kill what you can to see it mend; Get the high score or try again.,https://www.metacritic.com/game/post-void/
post void,PC,Sullywully,User,The game is extremely fun and addictive with great replayability and a clear goal in mind but even with this in mind I do wish there was more diversity between runs being more types of upgrades between levels and different weapons. Even so this game is great with out them and is one of the best things you can do with $5 (Australian),"Dec 7, 2022",9,"Jun 20, 2023",Post Void is a hypnotic scramble of early first-person shooter design that values speed above all else. Keep your head full and reach the end; Kill what you can to see it mend; Get the high score or try again.,https://www.metacritic.com/game/post-void/
the last hero of nostalgaia,PC,Movies Games and Tech,Critic,"The Last Hero of Nostalgaia gives us comedy in an otherwise infuriating (fun, but still infuriating) Souls-like experience. This comedy sets it apart; it cuts through the endless dying to give new layers to the rich story. Who knows… maybe there’s hope for this stick figure yet.","Jan 17, 2023",75,"Jun 20, 2023","Nostalgaia, the world of videogames, is collapsing backwards into a mysterious pixelation, with every particle of fidelity bleeding away. Oblivion seemingly awaits even our most cherished gaming memories. But as the lighting dims and frames diminish, with the world on the brink of extinction, hope emerges to fight back.

As the most hideous pixelated hero to ever spawn in Nostalgaia, you must fight through an army of its mindless inhabitants, while being jeered by a cynical narrator who despises your very existence.

The Last Hero of Nostalgaia is a satirical action-adventure, driven by a dark story, set in an incredibly rich and complex world.

Featuring hard but fair combat that fans of the genre will relish, along with full character customization, unique battle armor and engaging narrative mechanics rich in lore, The Last Hero of Nostalgaia's twisted and wicked tale is prepared to send you headfirst into almost certain death around its every vertex.",https://www.metacritic.com/game/the-last-hero-of-nostalgaia/
the last hero of nostalgaia,PC,GameSpace,Critic,All in a great take on the Soulslike staples we've already seen flood the market. This jaunt through a retro dullscape might feel oddly uninspiring if it wasn't for the streamlined gameplay and acerbic wit wielded by Nostalgaia.,"Oct 25, 2022",80,"Jun 20, 2023","Nostalgaia, the world of videogames, is collapsing backwards into a mysterious pixelation, with every particle of fidelity bleeding away. Oblivion seemingly awaits even our most cherished gaming memories. But as the lighting dims and frames diminish, with the world on the brink of extinction, hope emerges to fight back.

As the most hideous pixelated hero to ever spawn in Nostalgaia, you must fight through an army of its mindless inhabitants, while being jeered by a cynical narrator who despises your very existence.

The Last Hero of Nostalgaia is a satirical action-adventure, driven by a dark story, set in an incredibly rich and complex world.

Featuring hard but fair combat that fans of the genre will relish, along with full character customization, unique battle armor and engaging narrative mechanics rich in lore, The Last Hero of Nostalgaia's twisted and wicked tale is prepared to send you headfirst into almost certain death around its every vertex.",https://www.metacritic.com/game/the-last-hero-of-nostalgaia/
the last hero of nostalgaia,,,User,,,7.0,"Jun 20, 2023","Nostalgaia, the world of videogames, is collapsing backwards into a mysterious pixelation, with every particle of fidelity bleeding away. Oblivion seemingly awaits even our most cherished gaming memories. But as the lighting dims and frames diminish, with the world on the brink of extinction, hope emerges to fight back.

As the most hideous pixelated hero to ever spawn in Nostalgaia, you must fight through an army of its mindless inhabitants, while being jeered by a cynical narrator who despises your very existence.

The Last Hero of Nostalgaia is a satirical action-adventure, driven by a dark story, set in an incredibly rich and complex world.

Featuring hard but fair combat that fans of the genre will relish, along with full character customization, unique battle armor and engaging narrative mechanics rich in lore, The Last Hero of Nostalgaia's twisted and wicked tale is prepared to send you headfirst into almost certain death around its every vertex.",https://www.metacritic.com/game/the-last-hero-of-nostalgaia/
the last hero of nostalgaia,,,User,,,,"Jun 20, 2023","Nostalgaia, the world of videogames, is collapsing backwards into a mysterious pixelation, with every particle of fidelity bleeding away. Oblivion seemingly awaits even our most cherished gaming memories. But as the lighting dims and frames diminish, with the world on the brink of extinction, hope emerges to fight back.

As the most hideous pixelated hero to ever spawn in Nostalgaia, you must fight through an army of its mindless inhabitants, while being jeered by a cynical narrator who despises your very existence.

The Last Hero of Nostalgaia is a satirical action-adventure, driven by a dark story, set in an incredibly rich and complex world.

Featuring hard but fair combat that fans of the genre will relish, along with full character customization, unique battle armor and engaging narrative mechanics rich in lore, The Last Hero of Nostalgaia's twisted and wicked tale is prepared to send you headfirst into almost certain death around its every vertex.",https://www.metacritic.com/game/the-last-hero-of-nostalgaia/
the last hero of nostalgaia,,,User,,,,"Jun 20, 2023","Nostalgaia, the world of videogames, is collapsing backwards into a mysterious pixelation, with every particle of fidelity bleeding away. Oblivion seemingly awaits even our most cherished gaming memories. But as the lighting dims and frames diminish, with the world on the brink of extinction, hope emerges to fight back.

As the most hideous pixelated hero to ever spawn in Nostalgaia, you must fight through an army of its mindless inhabitants, while being jeered by a cynical narrator who despises your very existence.

The Last Hero of Nostalgaia is a satirical action-adventure, driven by a dark story, set in an incredibly rich and complex world.

Featuring hard but fair combat that fans of the genre will relish, along with full character customization, unique battle armor and engaging narrative mechanics rich in lore, The Last Hero of Nostalgaia's twisted and wicked tale is prepared to send you headfirst into almost certain death around its every vertex.",https://www.metacritic.com/game/the-last-hero-of-nostalgaia/
killzone liberation,PSP,Deeko,Critic,"Without a shadow of a doubt, one of the most highly-polished and brag-worthy games that the PSP has.",,77,,,
killzone liberation,PSP,Gamer 2.0,Critic,"A marked improvement over its console inspiration, and provides an entertaining and challenging experience to those who pick it up.",,84,,,
killzone liberation,PSP,Kerber,User,"I love it, 3d isometric approach is making it really interesting and game has solid learning curve and is really great to play again and again.","Sep 21, 2021",7.9,,,
killzone liberation,PSP,Bustergundam4,User,"Killzone: Liberation for the Playstion Portable was a great game and the Bosses were a witty challenge to the game's original story **** was a 10/10 for : graphics,music,voice acting and overall storyline.

10/10","Jan 12, 2012",10,,,
soulstice,PC,GamingTrend,Critic,"Soulstice does an exceptional job of keeping the player engaged throughout its entirety. The amount of content just within the combat is jaw-dropping, so much so that it feels like Reply Game Studios aren’t saving anything for a sequel. There’s a lot to discover (and a lot to master) as you slowly trek through its massive world and uncover one of the most enjoyable detective-style stories that I’ve come to experience.","Sep 19, 2022",68,"Jun 20, 2023","The balance of the Holy Kingdom of Keidas is compromised when powerful, feral creatures known as ""Wraiths"" invade from the other side of the Veil, threatening to consume the living. The ""Chimeras"", hybrid warriors born of the union of two souls, are the only ones who can protect humankind.

Briar and Lute are two sisters who have been reborn as a Chimera. The transformation has granted Briar superhuman strength and resilience, while Lute, who was sacrificed in order to bind her soul to her sister's, has become a ghost with mystical powers. Voiced by Stefanie Joosten (Metal Gear Solid 5), Briar and Lute are sent on a mission to reclaim a city in ruins that has been ravaged by the Wraiths, only to discover that the Order they belong to has a far more complex plan in mind.

Explore a dark world brimming with hidden mysteries, master a diverse combat system, and inhabit the dual forces of two sisters in a coming-of-age fantasy story with fast-paced action, vicious enemies and breathtaking boss fights.",https://www.metacritic.com/game/soulstice/
soulstice,PC,Digital Chumps,Critic,"Soulstice from Reply Game Studios brings a strong story, a good amount of action, and paints a perfectly drab world to tie it all together. The backend gameplay design helps to add more value to the experience while motivating the player to keep exploring and pushing forward. The only caveat to the experience is the locked camera that will frustrate and hinder the gameplay at times. Overall, it’s a fun game, but it could use a fully controllable camera to make it even better.","Sep 25, 2022",75,"Jun 20, 2023","The balance of the Holy Kingdom of Keidas is compromised when powerful, feral creatures known as ""Wraiths"" invade from the other side of the Veil, threatening to consume the living. The ""Chimeras"", hybrid warriors born of the union of two souls, are the only ones who can protect humankind.

Briar and Lute are two sisters who have been reborn as a Chimera. The transformation has granted Briar superhuman strength and resilience, while Lute, who was sacrificed in order to bind her soul to her sister's, has become a ghost with mystical powers. Voiced by Stefanie Joosten (Metal Gear Solid 5), Briar and Lute are sent on a mission to reclaim a city in ruins that has been ravaged by the Wraiths, only to discover that the Order they belong to has a far more complex plan in mind.

Explore a dark world brimming with hidden mysteries, master a diverse combat system, and inhabit the dual forces of two sisters in a coming-of-age fantasy story with fast-paced action, vicious enemies and breathtaking boss fights.",https://www.metacritic.com/game/soulstice/
soulstice,PC,SHnHL,User,Not a fan of DMC. I would give it an 8 but given it's highly underrated I gave it a 10. Good gameplay. Interesting story. Beautiful graphics. Hope to see more of the game,"Dec 22, 2023",5.9,"Jun 20, 2023","The balance of the Holy Kingdom of Keidas is compromised when powerful, feral creatures known as ""Wraiths"" invade from the other side of the Veil, threatening to consume the living. The ""Chimeras"", hybrid warriors born of the union of two souls, are the only ones who can protect humankind.

Briar and Lute are two sisters who have been reborn as a Chimera. The transformation has granted Briar superhuman strength and resilience, while Lute, who was sacrificed in order to bind her soul to her sister's, has become a ghost with mystical powers. Voiced by Stefanie Joosten (Metal Gear Solid 5), Briar and Lute are sent on a mission to reclaim a city in ruins that has been ravaged by the Wraiths, only to discover that the Order they belong to has a far more complex plan in mind.

Explore a dark world brimming with hidden mysteries, master a diverse combat system, and inhabit the dual forces of two sisters in a coming-of-age fantasy story with fast-paced action, vicious enemies and breathtaking boss fights.",https://www.metacritic.com/game/soulstice/
soulstice,PC,BRUXA_DAS_NEVES,User,Good game,"Sep 30, 2023",10,"Jun 20, 2023","The balance of the Holy Kingdom of Keidas is compromised when powerful, feral creatures known as ""Wraiths"" invade from the other side of the Veil, threatening to consume the living. The ""Chimeras"", hybrid warriors born of the union of two souls, are the only ones who can protect humankind.

Briar and Lute are two sisters who have been reborn as a Chimera. The transformation has granted Briar superhuman strength and resilience, while Lute, who was sacrificed in order to bind her soul to her sister's, has become a ghost with mystical powers. Voiced by Stefanie Joosten (Metal Gear Solid 5), Briar and Lute are sent on a mission to reclaim a city in ruins that has been ravaged by the Wraiths, only to discover that the Order they belong to has a far more complex plan in mind.

Explore a dark world brimming with hidden mysteries, master a diverse combat system, and inhabit the dual forces of two sisters in a coming-of-age fantasy story with fast-paced action, vicious enemies and breathtaking boss fights.",https://www.metacritic.com/game/soulstice/
coded soul uketsugareshi idea,,,Critic,,,tbd,,,
coded soul uketsugareshi idea,,,User,,,,,,
masternoid,,,Critic,,,tbd,"Jun 20, 2023","Experience the captivating world of an arcade reborn and embrace the meditative power of coordinated voxel explosions.

Master the art of destruction, in a place where your trusted energy blaster is your only friend.
Skillfully juggle and control multiple ultrasonic balls with great finesse and precision.

Prepare for an explosive adventure as you navigate through 50 meticulously designed voxel levels.
Prove your worth as an arcade legend, ascending the leaderboards and leaving your mark on Masternoid's vibrant universe.

Lose yourself in the captivating melodies of an adaptive original soundtrack, perfectly tuned to harmonize with your every move.

Whether you prefer a seated or standing position, Masternoid offers an accessible and engaging gameplay experience.
Grab a single controller, and get ready to blast some voxels.",https://www.metacritic.com/game/masternoid/
masternoid,,,User,,,,"Jun 20, 2023","Experience the captivating world of an arcade reborn and embrace the meditative power of coordinated voxel explosions.

Master the art of destruction, in a place where your trusted energy blaster is your only friend.
Skillfully juggle and control multiple ultrasonic balls with great finesse and precision.

Prepare for an explosive adventure as you navigate through 50 meticulously designed voxel levels.
Prove your worth as an arcade legend, ascending the leaderboards and leaving your mark on Masternoid's vibrant universe.

Lose yourself in the captivating melodies of an adaptive original soundtrack, perfectly tuned to harmonize with your every move.

Whether you prefer a seated or standing position, Masternoid offers an accessible and engaging gameplay experience.
Grab a single controller, and get ready to blast some voxels.",https://www.metacritic.com/game/masternoid/
hercs adventures,,,Critic,,,tbd,,,
hercs adventures,,,User,,,,,,
rogue legacy 2,PC,Gamer Escape,Critic,"Rogue Legacy 2 is a wonderful, beautiful, crazy-hard-and-yet-not-at-the-same-time game. I can hardly stop playing it long enough to finish writing this review. It is hard to find flaws in this game without resorting to extreme nit-picking. Every aspect of it just oozes polish. The replayability is off the charts, even after you finally reach the ending. Even if roguelikes/rogue-lites or metroidvanias scare you for their reputation of being too hard for the average gamer, play this one. It absolutely deserves a spot right up there with the best of them, including its genre’s namesakes. You may have never heard of Cellar Door Games unless you played the original Rogue Legacy, but I truly and honestly believe you owe it to yourself to give it a try.","May 2, 2022",88,"Jun 20, 2023","Rogue Legacy is back! But now it's got a 2 on the end of it!

Rogue Legacy 2 is a genealogical rogue-LITE. That means it has all the trappings of a typical rogue-like (randomized runs, changing characters, and more), but with persistent upgrades, and persistent dead heirs.

In this game, your legacy defines you. Spend your parents' inheritance and grow the family manor to give your children a better fighting chance. Each child is unique, with their own traits and abilities. Your daughter could be a Ranger. She could also be vegan. It's a new experience every time.

Rogue Legacy 2 also lets you play how you want to. Go hard and fast, and dive deeper into the depths of a randomly-generated world. Or take it slow and steady and build your character up until you're ready for greater challenges.",https://www.metacritic.com/game/rogue-legacy-2/
rogue legacy 2,PC,IGN Portugal,Critic,"Rogue Legacy 2 is a worthy heir to the 2013 original and solidifies the legacy left by one of the best examples of what a roguelike/Metroidvania is. Its difficulty may put some players off, but don't be fooled, Rogue Legacy 2 is highly addictive, deep and fun.","May 5, 2022",90,"Jun 20, 2023","Rogue Legacy is back! But now it's got a 2 on the end of it!

Rogue Legacy 2 is a genealogical rogue-LITE. That means it has all the trappings of a typical rogue-like (randomized runs, changing characters, and more), but with persistent upgrades, and persistent dead heirs.

In this game, your legacy defines you. Spend your parents' inheritance and grow the family manor to give your children a better fighting chance. Each child is unique, with their own traits and abilities. Your daughter could be a Ranger. She could also be vegan. It's a new experience every time.

Rogue Legacy 2 also lets you play how you want to. Go hard and fast, and dive deeper into the depths of a randomly-generated world. Or take it slow and steady and build your character up until you're ready for greater challenges.",https://www.metacritic.com/game/rogue-legacy-2/
rogue legacy 2,PC,kqin,User,[SPOILER ALERT: This review contains spoilers.],"May 5, 2023",7.5,"Jun 20, 2023","Rogue Legacy is back! But now it's got a 2 on the end of it!

Rogue Legacy 2 is a genealogical rogue-LITE. That means it has all the trappings of a typical rogue-like (randomized runs, changing characters, and more), but with persistent upgrades, and persistent dead heirs.

In this game, your legacy defines you. Spend your parents' inheritance and grow the family manor to give your children a better fighting chance. Each child is unique, with their own traits and abilities. Your daughter could be a Ranger. She could also be vegan. It's a new experience every time.

Rogue Legacy 2 also lets you play how you want to. Go hard and fast, and dive deeper into the depths of a randomly-generated world. Or take it slow and steady and build your character up until you're ready for greater challenges.",https://www.metacritic.com/game/rogue-legacy-2/
rogue legacy 2,PC,BATLICAN,User,"Oyunun akıcılığı ilk başlarda hafif sıkmasına rağmen , oyun belli bir süreden sonra akıyor ve sizi tatmin ediyor. Oyunun zor ilk zorluğu orta seviye oyun oynamayı bilen herkesin kolayca geçebileceği bir zorluk   . İkinci zorluk ise çok zor olmasıyla birlikte çok yorucu ve belli ruh hastaları bu zorluğu geçebilir 10/10","Aug 22, 2022",10,"Jun 20, 2023","Rogue Legacy is back! But now it's got a 2 on the end of it!

Rogue Legacy 2 is a genealogical rogue-LITE. That means it has all the trappings of a typical rogue-like (randomized runs, changing characters, and more), but with persistent upgrades, and persistent dead heirs.

In this game, your legacy defines you. Spend your parents' inheritance and grow the family manor to give your children a better fighting chance. Each child is unique, with their own traits and abilities. Your daughter could be a Ranger. She could also be vegan. It's a new experience every time.

Rogue Legacy 2 also lets you play how you want to. Go hard and fast, and dive deeper into the depths of a randomly-generated world. Or take it slow and steady and build your character up until you're ready for greater challenges.",https://www.metacritic.com/game/rogue-legacy-2/
age of wonders 4 dragon dawn,PC,But Why Tho?,Critic,"If you love playing Age of Wonders 4 and are looking to try a new way to forge empires, or you just really like dragons, then the Dragon Dawn content pack is worth it.","Jun 19, 2023",90,,,
age of wonders 4 dragon dawn,,,User,,,,,,
super kids racing theme park edition,,,Critic,,,tbd,,,
super kids racing theme park edition,,,User,,,,,,
worms,,,Critic,,,tbd,"Jun 20, 2023","Worms is an ultra-fast-paced game of team strategy for up to 16 players. It's a little bit &quot;Lemmings&trade;&quot; and a lotta bit &quot;Terminator&trade;&quot;... only more pink and squishy, with bazookas, homing missiles and cluster bombs blasting the screen in an unrelenting fury, only the moist can survive!",https://www.metacritic.com/game/worms/
worms,,,User,,,7.9,"Jun 20, 2023","Worms is an ultra-fast-paced game of team strategy for up to 16 players. It's a little bit &quot;Lemmings&trade;&quot; and a lotta bit &quot;Terminator&trade;&quot;... only more pink and squishy, with bazookas, homing missiles and cluster bombs blasting the screen in an unrelenting fury, only the moist can survive!",https://www.metacritic.com/game/worms/
worms,,,User,,,,"Jun 20, 2023","Worms is an ultra-fast-paced game of team strategy for up to 16 players. It's a little bit &quot;Lemmings&trade;&quot; and a lotta bit &quot;Terminator&trade;&quot;... only more pink and squishy, with bazookas, homing missiles and cluster bombs blasting the screen in an unrelenting fury, only the moist can survive!",https://www.metacritic.com/game/worms/
escape academy escape from the past,PlayStation 5,Video Chums,Critic,Escape Academy: Escape from the Past is an origins story that will keep you and a chum happily thinking outside-the-box for hours.,"Jun 29, 2023",80,,,
escape academy escape from the past,,,User,,,,,,
s lanes,,,Critic,,,tbd,"Jun 17, 2023","S LANES is a fast-paced one-button game.

You are constantly moving between the four lanes on the left side of the screen. Your goal is to shoot enemies that are coming from the right to keep them from reaching the lanes. Hold a button to shoot and to move forward towards the enemies. Collect the coins that enemies drop after you destroy them to score points.

The game is over when any enemy reaches any of the lanes.",https://www.metacritic.com/game/s-lanes/
s lanes,,,User,,,,"Jun 17, 2023","S LANES is a fast-paced one-button game.

You are constantly moving between the four lanes on the left side of the screen. Your goal is to shoot enemies that are coming from the right to keep them from reaching the lanes. Hold a button to shoot and to move forward towards the enemies. Collect the coins that enemies drop after you destroy them to score points.

The game is over when any enemy reaches any of the lanes.",https://www.metacritic.com/game/s-lanes/
alchemic cutie,Xbox Series X,Generación Xbox,Critic,"Everything brings a feeling of warmth that at no time pretends to show the true obstacles in life, but rather wants to give an idealized image to make us smile while we carry out the different daily chores in our gray cubicle.","Oct 11, 2021",62,"Jun 16, 2023","Alchemic Cutie is a wholesome relaxing RPG set on colorful Wimba Island. While taming wild jellies, you'll meet villagers, enter jelly compeitions and uncover the secrets of the island.

Wimba Island is a huge place with plenty to do. From exploring secret locations to discovering new Jellies scattered all over the island. As the seasons change, so does the island with new areas, different Jellies and items appearing.

Enjoy an engaging Jelly raising system, where each Jelly has uniquely generated stats, traits and over 4000 visual styles. You will be able to tame, breed, and raise the perfect jelly companion and take it with you on adventures.

Befriend a village of goofy, fun, and sometimes complicated characters. Help them by completing quests or just hang out, mingle and get to know them. Who knows...maybe some might be hiding something...",https://www.metacritic.com/game/alchemic-cutie/
alchemic cutie,,,User,,,,"Jun 16, 2023","Alchemic Cutie is a wholesome relaxing RPG set on colorful Wimba Island. While taming wild jellies, you'll meet villagers, enter jelly compeitions and uncover the secrets of the island.

Wimba Island is a huge place with plenty to do. From exploring secret locations to discovering new Jellies scattered all over the island. As the seasons change, so does the island with new areas, different Jellies and items appearing.

Enjoy an engaging Jelly raising system, where each Jelly has uniquely generated stats, traits and over 4000 visual styles. You will be able to tame, breed, and raise the perfect jelly companion and take it with you on adventures.

Befriend a village of goofy, fun, and sometimes complicated characters. Help them by completing quests or just hang out, mingle and get to know them. Who knows...maybe some might be hiding something...",https://www.metacritic.com/game/alchemic-cutie/
clutter evolution beyond xtreme,,,Critic,,,tbd,,,
clutter evolution beyond xtreme,,,User,,,,,,
creepy tale,Nintendo Switch,Pure Nintendo,Critic,"Creepy Tale is aptly titled; it had no trouble giving me goosebumps. The gloomy atmosphere is aesthetically pleasing and the cryptic puzzles will tease your brain, bordering on frustrating at times – patience and trial and error are key attributes here. This one will likely appeal to fans of point-and-click style puzzle games with horror elements.","Aug 2, 2020",54,"Apr 27, 2023","Find out the dark story that befell the once-calm and peaceful forest, turning it into a creepy place filled with evil. Perhaps it is you who will be able to solve all the secrets of the forest and save the peaceful creatures?",https://www.metacritic.com/game/creepy-tale/
creepy tale,,,User,,,5.6,"Apr 27, 2023","Find out the dark story that befell the once-calm and peaceful forest, turning it into a creepy place filled with evil. Perhaps it is you who will be able to solve all the secrets of the forest and save the peaceful creatures?",https://www.metacritic.com/game/creepy-tale/
creepy tale,,,User,,,,"Apr 27, 2023","Find out the dark story that befell the once-calm and peaceful forest, turning it into a creepy place filled with evil. Perhaps it is you who will be able to solve all the secrets of the forest and save the peaceful creatures?",https://www.metacritic.com/game/creepy-tale/
hiq ace unlimited,,,Critic,,,tbd,"Apr 27, 2023","Definitive puzzles in an unlimited way.

In the puzzle race, you are the jigsaw ace.

Check out the new version of the classic jigsaw puzzle game.

Train your mind, focus your eyes, improve your reflexes.

Have fun in classic Arcade mode. Take your time in the Relax mode. Check your limits in the Expert mode.",https://www.metacritic.com/game/hiq-ace-unlimited/
hiq ace unlimited,,,User,,,,"Apr 27, 2023","Definitive puzzles in an unlimited way.

In the puzzle race, you are the jigsaw ace.

Check out the new version of the classic jigsaw puzzle game.

Train your mind, focus your eyes, improve your reflexes.

Have fun in classic Arcade mode. Take your time in the Relax mode. Check your limits in the Expert mode.",https://www.metacritic.com/game/hiq-ace-unlimited/
jinki unlimited ,,,Critic,,,tbd,,,
jinki unlimited ,,,User,,,,,,
evil dead the game game of the year edition,,,Critic,,,tbd,,,
evil dead the game game of the year edition,,,User,,,,,,
neko rescue tale,Xbox Series X,TheXboxHub,Critic,"If you’ve been lured in by the cat, then you should probably know that Neko Rescue Tale has all the worst aspects of one. It gives you a false sense of security by looking cute, curling up in your lap. But once you start playing with it, the claws come out, as poor level design, collision detection, platforming and - most of all - combat all cause blood to flow.","May 29, 2023",40,"Apr 26, 2023","A little kitty’s friend has gone missing, and it’s up to you to guide the frisky feline to rescue them! Presented in side-scrolling pixel art style, Neko Rescue Tale is a traditional action platformer where you guide a heroic cat through seasonally themed stages filled with enemies, traps, pitfalls and more. Run, jump and always land on your feet!",https://www.metacritic.com/game/neko-rescue-tale/
neko rescue tale,,,User,,,,"Apr 26, 2023","A little kitty’s friend has gone missing, and it’s up to you to guide the frisky feline to rescue them! Presented in side-scrolling pixel art style, Neko Rescue Tale is a traditional action platformer where you guide a heroic cat through seasonally themed stages filled with enemies, traps, pitfalls and more. Run, jump and always land on your feet!",https://www.metacritic.com/game/neko-rescue-tale/
ever maiden daraku no sono no otome tachi,,,Critic,,,tbd,,,
ever maiden daraku no sono no otome tachi,,,User,,,,,,
superfidos,,,Critic,,,tbd,"Apr 26, 2023","When Furball accidentally drinks a sleeping potion, his owner, the warlock Lux, needs to extract human fear to create an awakening potion. After the evil wizard crashes at the Golden Sands resort and kidnaps all humans, it’s up to the loyal dogs Kenny, Lenny, and Max to rescue their human friends and show Lux that some love and care always beats fear. Superfidos is a platforming game where you explore the vast world of Fluffington. You play as a magical dog hero, traversing different levels in multiple interconnected areas, gathering power-ups, magic, and more to help you in your journey. Unlike a straightforward platformer where you go from one level to the next, Superfidos promotes free exploration, is full of secrets, and provides different ways of approaching and solving the game’s multiple puzzles and challenges. Put your best cape on and help these heroes show Lux they are not called Superfidos for nothing.",https://www.metacritic.com/game/superfidos/
superfidos,,,User,,,,"Apr 26, 2023","When Furball accidentally drinks a sleeping potion, his owner, the warlock Lux, needs to extract human fear to create an awakening potion. After the evil wizard crashes at the Golden Sands resort and kidnaps all humans, it’s up to the loyal dogs Kenny, Lenny, and Max to rescue their human friends and show Lux that some love and care always beats fear. Superfidos is a platforming game where you explore the vast world of Fluffington. You play as a magical dog hero, traversing different levels in multiple interconnected areas, gathering power-ups, magic, and more to help you in your journey. Unlike a straightforward platformer where you go from one level to the next, Superfidos promotes free exploration, is full of secrets, and provides different ways of approaching and solving the game’s multiple puzzles and challenges. Put your best cape on and help these heroes show Lux they are not called Superfidos for nothing.",https://www.metacritic.com/game/superfidos/
clutter 1000,,,Critic,,,tbd,"Apr 26, 2023","The object of the game is as simple as can be. Just find and click on two matching objects to remove them from the playing field. Watch your pairs pop out and merge into one, then swoop down to the treadmill. All your old favorites are here along with twice as many new ones to keep you playing for days and days.",https://www.metacritic.com/game/clutter-1000/
clutter 1000,,,User,,,,"Apr 26, 2023","The object of the game is as simple as can be. Just find and click on two matching objects to remove them from the playing field. Watch your pairs pop out and merge into one, then swoop down to the treadmill. All your old favorites are here along with twice as many new ones to keep you playing for days and days.",https://www.metacritic.com/game/clutter-1000/
mangavania,Xbox Series X,Movies Games and Tech,Critic,"Mangavania is an old-school platformer with a dated aesthetic. What's more, its simple approach works well because of the short stages. However, if you wish to find everything, you must unlock every skill and return to explore the otherwise unreachable areas. My only complaints are a lack of depth and that it ends far too soon.","Apr 23, 2023",70,"Apr 26, 2023",Old school action platformer game with pixel art graphics.,https://www.metacritic.com/game/mangavania/
mangavania,,,User,,,,"Apr 26, 2023",Old school action platformer game with pixel art graphics.,https://www.metacritic.com/game/mangavania/
argonauts agency golden fleece,Xbox One,TheXboxHub,Critic,"If you have played them before, and you’ve grown frustrated that 8floor Games never seem to release a coherent, bug-free and ambitious title, then stop the Argo for a moment. Argonauts Agency 1: Golden Fleece is the one.","Nov 26, 2023",80,,,
argonauts agency golden fleece,,,User,,,,,,
afterimage,PC,The Games Machine,Critic,"Not just a pretty face: Afterimage is not only a beautiful metroidvania, but also a very competent one, clever in taking inspiration from the right sources and able to deliver a world that you never get tired of exploring. Good thing too, considering how big it is.","May 18, 2023",79,"Apr 25, 2023","One of the supreme deities created this vast world called Engardin, upon which natural wonders lie everywhere: gigantic volcanoes, steep canyons, deep seas and a tower that soars into the clouds...

Encounter fantastic creatures during your journey: giant beasts wandering in fire, and spirits lurking in the depth of complicated labyrinths... Learn about your new friends, get to know their pasts and the agendas they hold.

Engardin is alive with unknown secrets. Venture forth and feel free to explore wherever you like as a brave adventurer. Find out the stories that link each area, discover a concealed history and the truth of the world.",https://www.metacritic.com/game/afterimage/
afterimage,PC,Everyeye.it,Critic,"Although not without flaws, Afterimage manages to stand out in the panorama of 2D adventures in metroidvania sauce, thanks to its wonderful backdrops, good level design and playful structure. Augoron Shanghai's efforts to make the journey interesting from start to finish are evident, and we believe that fans of intricate stories, labyrinthine maps and important boss fights should not miss the opportunity to step into the shoes of young Renee.","May 2, 2023",85,"Apr 25, 2023","One of the supreme deities created this vast world called Engardin, upon which natural wonders lie everywhere: gigantic volcanoes, steep canyons, deep seas and a tower that soars into the clouds...

Encounter fantastic creatures during your journey: giant beasts wandering in fire, and spirits lurking in the depth of complicated labyrinths... Learn about your new friends, get to know their pasts and the agendas they hold.

Engardin is alive with unknown secrets. Venture forth and feel free to explore wherever you like as a brave adventurer. Find out the stories that link each area, discover a concealed history and the truth of the world.",https://www.metacritic.com/game/afterimage/
afterimage,PC,MauricioVB,User,"I wasn’t prepared for such a huge game! I bought it without doing much research and it really surprised me. Bad reviews don’t represent the game, if you’re a fan of metroidvania games, you’l definitely love it.Pros, it’s a very long game, doesn’t feel tedious because you have dozens of equipments and weapons and different combat styles for different weapons. Tons of enemies and each with different drop items, lots of bosses. Cons, the game is that huge that you get stuck pretty often and don’t know where to go. Some abilities of weapons aren’t explained and some definitions that aren’t clear, as well as some quests, the endings could have been more elaborated, it’s so much gameplay for the endings being so… is that all? Comparing pros vs cons, considering it’s not a huge budget company that makes it and considering the low price, the game is a solid 10.","Dec 12, 2023",7.2,"Apr 25, 2023","One of the supreme deities created this vast world called Engardin, upon which natural wonders lie everywhere: gigantic volcanoes, steep canyons, deep seas and a tower that soars into the clouds...

Encounter fantastic creatures during your journey: giant beasts wandering in fire, and spirits lurking in the depth of complicated labyrinths... Learn about your new friends, get to know their pasts and the agendas they hold.

Engardin is alive with unknown secrets. Venture forth and feel free to explore wherever you like as a brave adventurer. Find out the stories that link each area, discover a concealed history and the truth of the world.",https://www.metacritic.com/game/afterimage/
